time(s);clutchPressed;brakePressed;steeringWheelButtons;shiftLeverPos;engineTemp;wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;fuelLevel1;fuelLevel2;engineTorque;batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;
16.09;1;0;0;0;FFFFFFFA;0;0;0;0;0;428;1C7;3.2;42.5;25.5;14.5;5.5;77.1;-0.0039;-0.4939;
16.34;1;0;0;0;FFFFFFFA;0;0;0;0;0;421;1C7;3.2;42.5;26.5;14.5;5.5;77.1;-0.0039;-0.4939;
16.59;1;0;0;0;FFFFFFFA;0;0;0;0;0;422;1C7;3.2;42.5;26.0;14.5;5.5;77.1;-0.0039;-0.4939;
16.84;1;0;0;0;FFFFFFFA;0;0;0;0;0;422;1C7;3.2;42.5;24.5;14.5;5.5;77.1;-0.0039;-0.4939;
17.09;1;0;0;0;FFFFFFFA;0;0;0;0;0;420;1C7;3.2;42.4;26.0;14.5;5.5;77.1;-0.0039;-0.4941;
17.34;1;0;0;0;FFFFFFFA;0;0;0;0;0;423;1C7;3.2;42.4;24.5;14.5;5.5;77.1;-0.0039;-0.4943;
17.59;1;0;0;0;FFFFFFFA;0;0;0;0;0;420;1C7;3.2;42.4;24.5;14.5;5.5;77.1;-0.0039;-0.4950;
17.84;1;0;0;0;FFFFFFFA;0;0;0;0;0;423;1C7;3.2;42.4;25.0;14.5;5.5;77.1;-0.0039;-0.4946;
18.09;1;0;0;0;FFFFFFFA;0;0;0;0;0;41D;1C7;3.2;42.4;26.0;14.5;5.5;77.1;-0.0039;-0.4943;
18.34;1;0;0;0;FFFFFFFA;0;0;0;0;0;423;1C7;3.2;42.4;23.5;14.5;5.5;77.1;-0.0039;-0.4943;
18.59;1;0;0;0;FFFFFFFA;0;0;0;0;0;421;1C7;3.2;42.4;23.5;14.5;5.5;77.1;0.0001;-0.4941;
18.84;1;0;0;0;FFFFFFFA;0;0;0;0;0;424;1C7;3.2;42.4;23.0;14.5;5.5;77.1;0.0119;-0.4941;
19.09;1;0;0;0;FFFFFFFA;0;0;0;0;0;432;1C7;3.2;42.4;21.5;14.5;5.5;77.1;0.0158;-0.4941;
19.34;1;0;0;0;FFFFFFFA;0;0;0;0;0;427;1C7;3.2;42.4;22.0;14.6;5.5;77.1;0.0317;-0.4941;
19.59;1;0;0;0;FFFFFFFA;0;0;0;0;0;432;1C7;3.2;42.4;22.5;14.6;5.5;77.1;0.0356;-0.4941;
19.84;1;0;0;0;FFFFFFFA;0;0;0;0;0;421;1C7;3.2;42.4;25.5;14.5;5.5;77.1;0.0396;-0.4941;
20.09;1;0;0;0;FFFFFFFA;0;0;0;0;0;41B;1C7;3.2;42.4;36.0;14.5;5.5;77.1;0.0356;-0.4938;
20.34;1;0;0;0;FFFFFFFA;0;0;0;0;0;424;1C7;3.2;42.4;37.0;14.5;5.5;77.1;0.0396;-0.4934;
20.61;1;0;0;0;FFFFFFFA;0;0;0;0;0;42C;1C7;3.2;42.4;34.5;14.5;5.5;77.1;0.0396;-0.4934;
20.86;1;0;0;0;FFFFFFFA;0;0;0;0;0;431;1C7;3.2;42.4;36.0;14.5;5.5;77.1;0.0396;-0.4938;
21.11;1;0;0;0;FFFFFFFA;0;0;0;0;0;42C;1C7;3.2;42.4;35.5;14.5;5.5;77.1;0.0435;-0.4938;
21.36;1;0;0;0;FFFFFFFA;0;0;0;0;0;417;1C7;3.2;42.4;43.0;14.5;5.5;77.1;0.0515;-0.4938;
21.61;1;0;0;0;FFFFFFFA;0;0;0;0;0;413;1C7;3.2;42.4;55.5;14.5;5.5;77.1;0.0594;-0.4939;
21.86;1;0;0;0;FFFFFFFA;0;0;0;0;0;412;1C7;3.2;42.4;65.0;14.5;5.5;77.1;0.0673;-0.4939;
22.11;1;0;0;0;FFFFFFFA;0;0;0;0;0;412;1C7;3.2;42.4;81.0;14.5;5.5;77.1;0.0673;-0.4939;
22.36;1;0;0;0;FFFFFFFB;0;0;0;0;0;432;1C7;3.2;42.4;74.5;14.5;5.5;77.1;0.0673;-0.4939;
22.61;1;0;0;0;FFFFFFFB;0;0;0;0;0;427;1C7;3.2;42.4;79.0;14.5;5.5;77.1;0.0673;-0.5547;
22.86;1;0;0;0;FFFFFFFB;0;0;0;0;0;41F;1C7;3.2;42.3;88.5;14.6;5.5;77.1;0.0713;-0.6070;
23.11;1;0;0;0;FFFFFFFB;0;0;0;0;0;423;1C7;3.2;42.3;96.5;14.6;5.5;77.1;0.0753;-0.6542;
23.36;1;0;0;0;FFFFFFFB;0;0;0;0;0;434;1C7;3.2;42.5;93.5;14.6;5.5;77.1;0.0752;-0.6709;
23.61;1;0;0;0;FFFFFFFB;0;0;0;0;0;435;1C7;3.2;42.5;92.5;14.6;5.5;77.1;0.0792;-0.7539;
23.86;1;0;0;0;FFFFFFFB;0;0;0;0;0;43A;1C7;3.2;42.5;92.0;14.6;5.5;77.1;0.0752;-0.7866;
24.11;1;0;0;0;FFFFFFFB;0;0;0;0;0;444;1C7;3.2;42.4;89.0;14.6;5.5;77.1;0.0752;-0.7937;
24.36;1;0;0;0;FFFFFFFB;0;0;0;0;0;436;1C7;3.2;42.4;94.5;14.6;5.5;77.1;0.1029;-0.7971;
24.61;1;0;0;0;FFFFFFFB;0;0;0;0;0;432;1C7;3.2;42.4;97.0;14.6;5.5;77.1;0.1029;-0.8613;
24.86;1;0;0;0;FFFFFFFB;0;0;0;0;0;43C;1C7;3.2;42.4;104.0;14.6;5.5;77.1;0.1029;-0.8869;
25.11;1;0;0;0;FFFFFFFB;0;0;0;0;0;44E;1C7;3.2;42.4;98.5;14.6;5.5;77.1;0.1029;-0.9177;
25.36;1;0;0;0;FFFFFFFB;0;0;0;FFFFFFFF;0;41B;1C7;3.2;42.5;107.0;14.6;5.5;77.1;0.1029;-0.9388;
25.62;1;0;0;0;FFFFFFFB;0;0;0;0;0;4A9;1C7;3.2;42.5;58.0;14.6;5.5;77.1;0.0989;-0.9347;
25.87;1;0;0;0;FFFFFFFB;0;0;0;0;0;451;1C7;3.2;42.7;56.0;12.9;5.5;77.1;0.1107;-0.9153;
26.12;1;0;0;0;FFFFFFFB;0;0;0;0;0;447;1C7;3.2;42.3;74.0;12.9;5.5;77.1;0.1266;-0.9120;
26.37;1;0;0;0;FFFFFFFB;0;0;0;0;0;433;1C7;3.2;42.3;100.5;12.9;5.5;77.1;0.1266;-0.9091;
26.62;1;0;0;0;FFFFFFFB;0;0;0;0;0;44F;1C7;3.2;43.0;97.5;12.9;5.5;77.1;0.1266;-0.9062;
26.87;1;0;0;0;FFFFFFFB;0;0;0;0;0;457;1C7;3.2;43.0;99.0;12.9;5.5;77.1;0.1266;-0.9038;
27.12;1;0;0;0;FFFFFFFB;0;0;0;0;0;45B;1C7;3.2;43.0;94.0;12.9;5.5;77.1;0.1226;-0.8963;
27.37;1;0;0;0;FFFFFFFB;0;0;0;0;0;45B;1C7;3.2;43.0;94.0;11.8;5.5;77.1;0.1226;-0.8791;
27.62;1;0;0;0;FFFFFFFB;0;0;0;0;0;458;1C7;3.2;42.8;94.5;11.8;5.5;77.1;0.1226;-0.8584;
27.87;1;0;0;0;FFFFFFFB;0;0;0;0;0;45A;1C7;3.2;42.8;95.0;11.8;5.5;77.1;0.1226;-0.8531;
28.12;1;0;0;0;FFFFFFFB;0;0;0;0;0;459;1C7;3.2;43.0;95.5;11.7;5.5;77.1;0.1226;-0.8494;
28.37;1;0;0;0;FFFFFFFB;0;0;0;0;0;455;1C7;3.2;43.2;100.0;11.7;5.5;77.1;0.1266;-0.8451;
28.62;1;0;0;0;FFFFFFFC;0;0;0;0;0;458;1C7;3.2;43.2;100.0;11.7;5.5;77.1;0.1227;-0.8259;
28.87;1;0;0;0;FFFFFFFC;0;0;0;0;0;441;1C7;3.2;43.5;104.0;11.7;5.5;77.1;0.1108;-0.7737;
29.12;1;0;0;0;FFFFFFFC;0;0;0;0;0;462;1C7;3.2;43.5;93.0;11.8;5.5;77.1;0.1108;-0.6659;
29.37;1;0;0;0;FFFFFFFC;0;0;0;0;0;454;1C7;3.2;43.5;90.0;11.8;5.5;77.1;0.1147;-0.5492;
29.62;1;0;0;0;FFFFFFFC;0;0;0;0;0;44C;1C7;3.2;43.4;92.0;11.8;5.5;77.1;0.1147;-0.3767;
29.87;1;0;0;0;FFFFFFFC;0;0;0;0;0;448;1C7;3.2;43.4;96.0;11.8;5.5;77.1;0.1187;-0.2803;
30.12;1;0;0;0;FFFFFFFC;0;0;0;0;0;446;1C7;3.2;43.2;98.0;11.9;5.5;77.1;0.1187;-0.2112;
30.37;1;0;0;0;FFFFFFFC;0;0;0;0;0;437;1C7;3.2;43.8;113.5;11.9;5.5;77.1;0.1187;-0.1559;
30.64;1;0;0;0;FFFFFFFC;0;0;0;0;0;449;1C7;3.2;43.8;110.0;11.9;5.5;77.1;0.1187;-0.0862;
30.89;1;0;0;0;FFFFFFFC;0;0;0;0;0;46A;1C7;3.2;43.5;91.0;12.0;5.5;77.1;0.1068;-0.0924;
31.14;1;0;0;0;FFFFFFFC;0;0;0;0;0;45A;1C7;3.2;43.5;83.0;12.0;5.5;77.1;0.1108;-0.0931;
31.39;1;0;0;0;FFFFFFFC;0;0;0;0;0;44C;1C7;3.2;43.5;86.0;12.4;5.5;77.1;0.1187;-0.0931;
31.64;1;0;0;0;FFFFFFFC;0;0;0;0;0;44F;1C7;3.2;43.5;85.0;12.4;5.5;77.1;0.1187;-0.0924;
31.89;1;0;0;0;FFFFFFFD;0;0;0;0;0;446;1C7;3.2;43.8;89.0;13.7;5.5;77.1;0.1187;-0.0923;
32.14;1;0;0;0;FFFFFFFD;0;0;0;0;0;44A;1C7;3.2;43.7;86.5;14.4;5.5;77.1;0.1187;-0.0913;
32.39;1;0;0;0;FFFFFFFD;0;0;0;0;0;448;1C7;3.2;43.7;86.5;14.4;5.5;77.1;0.1226;-0.0899;
32.64;1;0;0;0;FFFFFFFD;0;0;0;0;0;43D;1C7;3.2;43.9;89.5;14.6;5.5;77.1;0.1226;-0.0878;
32.89;1;0;0;0;FFFFFFFD;0;0;0;0;0;43F;1C7;3.2;43.9;98.0;14.6;5.5;77.1;0.1227;-0.0869;
33.14;1;0;0;0;FFFFFFFD;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;448;1C7;3.2;43.9;96.0;14.6;5.5;77.1;0.1226;-0.0866;
33.39;1;0;0;0;FFFFFFFD;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;473;1C7;3.2;44.4;71.0;14.6;5.5;77.1;0.1147;-0.0863;
33.64;1;0;0;0;FFFFFFFD;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;459;1C7;3.2;44.4;65.0;14.5;5.5;77.1;0.1028;-0.0863;
33.89;1;0;0;0;FFFFFFFD;FFFFFFFF;FFFFFFFF;FFFFFFFE;FFFFFFFF;1;46D;1C7;3.2;44.6;36.5;14.5;5.5;77.1;0.0751;-0.0863;
34.14;1;0;0;0;FFFFFFFD;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;45B;1C7;3.2;44.7;24.5;14.5;5.5;77.1;-0.0039;-0.0862;
34.39;1;0;0;0;FFFFFFFD;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;403;1C7;3.2;44.7;30.5;14.5;5.5;77.1;0.0277;-0.0860;
34.64;1;0;0;0;FFFFFFFD;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;3E4;1C7;3.2;44.0;55.5;14.5;5.5;77.1;0.0436;-0.0848;
34.89;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;409;1C7;3.2;44.0;54.5;14.5;5.5;77.1;0.0436;-0.0828;
35.14;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;428;1C7;3.2;44.0;45.0;14.5;5.5;77.1;0.0238;-0.0809;
35.39;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;422;1C7;3.2;43.8;27.0;14.5;5.5;77.1;-0.0039;-0.0805;
35.65;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;425;1C7;3.2;43.8;15.5;14.5;5.5;77.1;-0.0039;-0.0802;
35.90;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;409;1C7;3.2;43.3;17.5;14.5;5.5;77.1;-0.0039;-0.0795;
36.15;1;0;0;0;FFFFFFFE;0;0;0;0;0;3F8;1C7;3.2;43.3;24.5;14.5;5.5;77.1;-0.0039;-0.0795;
36.40;1;0;0;0;FFFFFFFE;0;0;0;0;0;3E1;1C7;3.2;42.8;33.5;14.5;5.5;77.1;0.0159;-0.0796;
36.65;1;0;0;0;FFFFFFFE;0;0;0;0;0;3EF;1C7;3.2;42.8;42.5;14.5;5.5;77.1;0.0317;-0.0796;
36.90;1;0;0;0;FFFFFFFE;0;0;0;0;0;402;1C7;3.2;42.6;42.0;14.5;5.5;77.1;0.0356;-0.0789;
37.15;1;0;0;0;FFFFFFFE;0;0;0;0;0;3F7;1C7;3.2;41.9;54.5;14.5;5.5;77.1;0.0475;-0.0791;
37.40;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;3FF;1C7;3.2;41.9;56.5;14.5;5.5;77.1;0.0515;-0.0789;
37.65;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;407;1C7;3.2;41.2;56.0;14.5;5.5;77.1;0.0515;-0.0791;
37.90;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;40E;1C7;3.2;41.1;55.5;14.5;5.5;77.1;0.0475;-0.0791;
38.15;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;415;1C7;3.2;41.1;45.0;14.5;5.5;77.1;0.0317;-0.0613;
38.40;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;423;1C7;3.2;40.3;37.0;14.5;5.5;77.1;0.0435;0.0188;
38.65;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;41C;1C7;3.2;40.3;37.0;14.5;5.5;77.1;0.0475;0.0201;
38.90;1;0;0;0;FFFFFFFE;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;3FF;1C7;3.2;40.8;43.0;14.5;5.5;77.1;0.0475;0.0282;
39.15;1;0;0;0;FFFFFFFE;0;0;0;0;0;3EC;1C7;3.2;39.9;69.5;14.5;5.5;77.1;0.0554;0.0286;
39.40;1;0;0;0;FFFFFFFE;0;0;0;0;0;407;1C7;3.2;39.9;76.5;14.6;5.5;77.1;0.1108;0.0284;
39.65;1;0;0;0;FFFFFFFF;0;0;0;0;0;425;1C7;3.2;39.7;71.0;14.5;5.5;77.1;0.1107;0.0280;
39.90;1;0;0;0;FFFFFFFF;0;0;0;0;0;424;1C7;3.2;39.7;72.5;14.5;5.5;77.1;0.1108;0.0252;
40.15;1;0;0;0;FFFFFFFF;0;0;0;0;0;424;1C7;3.2;39.7;68.5;14.5;5.5;77.1;0.0989;0.0252;
40.40;1;0;0;0;FFFFFFFF;0;0;0;0;0;42A;1C7;3.2;39.7;63.5;14.5;5.5;77.1;0.0870;0.1427;
40.67;1;0;0;0;FFFFFFFF;0;0;0;0;0;41D;1C7;3.2;39.8;62.5;14.5;5.5;77.1;0.0791;0.2115;
40.92;1;0;0;0;FFFFFFFF;0;0;0;0;0;41E;1C7;3.2;39.4;62.0;14.5;5.5;77.1;0.0791;0.2728;
41.17;1;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;423;1C7;3.2;39.4;54.5;14.6;5.5;77.1;0.0752;0.2878;
41.42;1;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;418;1C7;3.2;39.5;56.0;14.6;5.5;77.1;0.0712;0.2800;
41.67;1;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;447;1C7;3.2;39.5;17.5;14.5;5.5;77.1;-0.0039;0.2190;
41.92;1;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFE;FFFFFFFF;FFFFFFFE;1;419;1C7;3.2;39.1;21.0;14.5;5.5;77.1;-0.0039;0.1372;
42.17;1;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;40A;1C7;3.2;38.8;16.5;14.5;5.5;77.1;-0.0039;0.0691;
42.42;1;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;3F0;1C7;3.2;38.8;17.5;14.6;5.5;77.1;-0.0039;0.2044;
42.67;1;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;3E1;1C7;3.2;38.9;26.5;14.6;5.5;77.1;-0.0039;0.3483;
42.92;1;0;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;3E3;1C7;3.2;38.3;27.0;14.6;5.5;77.1;-0.0039;0.4720;
43.17;1;0;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;3ED;1C7;3.2;38.3;23.0;14.6;5.5;77.1;-0.0039;0.5367;
43.42;1;0;0;0;0;FFFFFFFF;FFFFFFFF;FFFFFFFF;FFFFFFFF;1;3E7;1C7;3.2;38.6;26.0;14.5;5.5;77.1;-0.0039;0.7143;
43.67;1;0;0;0;0;FFFFFFFF;FFFFFFFE;FFFFFFFF;FFFFFFFE;1;3D7;1C7;3.2;38.6;33.0;14.5;5.5;77.1;-0.0039;0.8191;
43.92;1;0;0;0;0;FFFFFFFF;FFFFFFFE;FFFFFFFF;FFFFFFFE;1;3DF;1C7;3.2;38.9;33.5;14.6;5.5;77.1;-0.0039;0.9091;
