time(s);clutchPressed;brakePressed;steeringWheelButtons;shiftLeverPos;engineTemp;wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;fuelLevel1;fuelLevel2;engineTorque;batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;
0.54;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0000;0.0000;
0.79;1;0;0;0;FFFFFFF9;0;0;0;0;0;0;0;3.2;42.4;369.5;11.8;0.0;0.0;-0.0001;-0.4948;
1.04;1;0;0;0;FFFFFFF9;0;0;0;0;0;0;0;3.2;42.4;369.5;11.6;0.0;0.0;-0.0001;-0.4948;
1.29;1;0;0;0;FFFFFFF9;0;0;0;0;0;0;0;3.2;42.4;369.5;11.6;0.0;0.0;-0.0001;-0.4948;
1.54;1;0;0;0;FFFFFFF9;0;0;0;0;0;0;0;3.2;42.4;369.5;11.6;0.0;0.0;-0.0001;-0.4948;
1.79;1;0;0;0;FFFFFFF9;0;0;0;0;0;7F;1C7;3.2;42.4;367.5;11.5;0.0;0.0;-0.0038;-0.4948;
2.04;1;0;0;0;FFFFFFF9;0;0;0;0;0;DE;1C7;3.2;42.4;368.5;11.5;5.5;77.1;-0.0038;-0.4948;
2.29;1;0;0;0;FFFFFFF9;1;0;0;0;0;310;1C7;3.2;42.4;384.5;11.5;5.5;77.1;-0.0037;-0.4945;
2.54;1;0;0;0;FFFFFFF9;0;0;0;0;0;53F;1C7;3.2;42.4;62.0;11.5;5.5;77.1;-0.0038;-0.4945;
2.79;1;0;0;0;FFFFFFF9;0;0;0;0;0;4F5;1C7;3.2;42.4;58.0;11.5;5.5;77.1;-0.0038;-0.4945;
3.04;1;0;0;0;FFFFFFF9;0;0;0;0;0;4E3;1C7;3.2;42.4;59.5;11.5;5.5;77.1;-0.0038;-0.4945;
3.29;1;0;0;0;FFFFFFF9;0;0;0;0;0;4C2;1C7;3.2;42.4;49.0;11.3;5.5;77.1;-0.0038;-0.4945;
3.54;1;0;0;0;FFFFFFF9;0;0;0;0;0;4A5;1C7;3.2;42.5;52.0;11.3;5.5;77.1;-0.0038;-0.4945;
3.79;1;0;0;0;FFFFFFF9;0;0;0;0;0;47F;1C7;3.2;42.5;53.5;11.3;5.5;77.1;-0.0038;-0.4945;
4.04;1;0;0;0;FFFFFFF9;0;0;0;0;0;46D;1C7;3.2;42.4;54.5;11.3;5.5;77.1;-0.0038;-0.4945;
4.29;1;0;0;0;FFFFFFF9;0;0;0;0;0;445;1C7;3.2;42.4;53.5;11.3;5.5;77.1;-0.0038;-0.4945;
4.54;1;0;0;0;FFFFFFF9;0;0;0;0;0;42D;1C7;3.2;42.4;55.5;11.3;5.5;77.1;-0.0038;-0.4945;
4.79;1;0;0;0;FFFFFFF9;0;0;0;0;0;436;1C7;3.2;42.4;56.0;11.7;5.5;77.1;-0.0038;-0.4945;
5.04;1;0;0;0;FFFFFFF9;0;0;0;0;0;426;1C7;3.2;42.4;57.0;11.7;5.5;77.1;-0.0038;-0.4945;
5.29;1;0;0;0;FFFFFFF9;0;0;0;0;0;429;1C7;3.2;42.4;56.5;11.7;5.5;77.1;-0.0038;-0.4945;
5.56;1;0;0;0;FFFFFFF9;0;0;0;0;0;42F;1C7;3.2;42.4;53.5;11.7;5.5;77.1;-0.0038;-0.4945;
5.81;1;0;0;0;FFFFFFF9;0;0;0;0;0;430;1C7;3.2;42.4;51.0;11.7;5.5;77.1;-0.0038;-0.4945;
6.06;1;0;0;0;FFFFFFF9;0;0;0;0;0;428;1C7;3.2;42.4;52.5;14.6;5.5;77.1;-0.0038;-0.4945;
6.31;1;0;0;0;FFFFFFF9;0;0;0;0;0;426;1C7;3.2;42.4;52.0;14.6;5.5;77.1;-0.0038;-0.4945;
6.56;1;0;0;0;FFFFFFF9;0;0;0;0;0;432;1C7;3.2;42.4;45.5;14.6;5.5;77.1;-0.0039;-0.4945;
6.81;1;0;0;0;FFFFFFF9;0;0;0;0;0;42D;1C7;3.2;42.4;45.5;14.6;5.5;77.1;-0.0039;-0.4945;
7.06;1;0;0;0;FFFFFFF9;0;0;0;0;0;428;1C7;3.2;42.4;44.5;14.6;5.5;77.1;-0.0039;-0.4945;
7.31;1;0;0;0;FFFFFFF9;0;0;0;0;0;429;1C7;3.2;42.4;43.5;14.6;5.5;77.1;-0.0039;-0.4945;
7.56;1;0;0;0;FFFFFFF9;0;0;0;0;0;42A;1C7;3.2;42.4;41.0;14.6;5.5;77.1;-0.0039;-0.4945;
7.81;1;0;0;0;FFFFFFF9;0;0;0;0;0;428;1C7;3.2;42.4;42.5;14.5;5.5;77.1;-0.0039;-0.4945;
8.06;1;0;0;0;FFFFFFF9;0;0;0;0;0;42D;1C7;3.2;42.4;39.5;14.5;5.5;77.1;-0.0039;-0.4945;
8.31;1;0;0;0;FFFFFFF9;0;0;0;0;0;42A;1C7;3.2;42.4;39.5;14.5;5.5;77.1;-0.0039;-0.4945;
8.56;1;0;0;0;FFFFFFF9;0;0;0;0;0;429;1C7;3.2;42.4;39.0;14.5;5.5;77.1;-0.0039;-0.4945;
8.81;1;0;0;0;FFFFFFF9;0;0;0;0;0;42D;1C7;3.2;42.4;37.0;14.5;5.5;77.1;-0.0039;-0.4945;
9.06;1;0;0;0;FFFFFFF9;0;0;0;0;0;42D;1C7;3.2;42.4;39.0;14.6;5.5;77.1;-0.0039;-0.4945;
9.31;1;0;0;0;FFFFFFF9;0;0;0;0;0;421;1C7;3.2;42.4;37.0;14.6;5.5;77.1;-0.0039;-0.4945;
9.56;1;0;0;0;FFFFFFF9;0;0;0;0;0;42A;1C7;3.2;42.4;36.5;14.6;5.5;77.1;-0.0039;-0.4945;
9.81;1;0;0;0;FFFFFFF9;0;0;0;0;0;427;1C7;3.2;42.5;35.5;14.6;5.5;77.1;-0.0039;-0.4945;
10.06;1;0;0;0;FFFFFFF9;0;0;0;0;0;428;1C7;3.2;42.5;35.0;14.6;5.5;77.1;-0.0039;-0.4945;
10.31;1;0;0;0;FFFFFFF9;0;0;0;0;0;423;1C7;3.2;42.5;35.5;14.6;5.5;77.1;-0.0039;-0.4945;
10.58;1;0;0;0;FFFFFFF9;0;0;0;0;0;42F;1C7;3.2;42.5;32.5;14.6;5.5;77.1;-0.0039;-0.4945;
10.83;1;0;0;0;FFFFFFF9;0;0;0;0;0;428;1C7;3.2;42.5;33.5;14.6;5.5;77.1;-0.0039;-0.4945;
11.08;1;0;0;0;FFFFFFF9;0;0;0;0;0;424;1C7;3.2;42.5;32.5;14.6;5.5;77.1;-0.0039;-0.4945;
11.33;1;0;0;0;FFFFFFF9;0;0;0;0;0;423;1C7;3.2;42.5;33.0;14.5;5.5;77.1;-0.0039;-0.4945;
11.58;1;0;0;0;FFFFFFFA;0;0;0;0;0;428;1C7;3.2;42.5;31.5;14.5;5.5;77.1;-0.0039;-0.4945;
11.83;1;0;0;0;FFFFFFFA;0;0;0;0;0;429;1C7;3.2;42.5;31.5;14.2;5.5;77.1;-0.0039;-0.4945;
12.08;1;0;0;0;FFFFFFFA;0;0;0;0;0;41C;1C7;3.2;42.5;32.0;14.2;5.5;77.1;-0.0039;-0.4943;
12.33;1;0;0;0;FFFFFFFA;0;0;0;0;0;425;1C7;3.2;42.5;32.0;14.3;5.5;77.1;-0.0039;-0.4943;
12.58;1;0;0;0;FFFFFFFA;0;0;0;0;0;428;1C7;3.2;42.5;30.0;14.3;5.5;77.1;-0.0039;-0.4941;
12.83;1;0;0;0;FFFFFFFA;0;0;0;0;0;429;1C7;3.2;42.5;30.5;14.5;5.5;77.1;-0.0039;-0.4941;
13.08;1;0;0;0;FFFFFFFA;0;0;0;0;0;426;1C7;3.2;42.5;29.5;14.5;5.5;77.1;-0.0039;-0.4941;
13.33;1;0;0;0;FFFFFFFA;0;0;0;0;0;426;1C7;3.2;42.5;29.0;14.5;5.5;77.1;-0.0039;-0.4941;
13.58;1;0;0;0;FFFFFFFA;0;0;0;0;0;427;1C7;3.2;42.5;29.0;14.5;5.5;77.1;-0.0039;-0.4939;
13.83;1;0;0;0;FFFFFFFA;0;0;0;0;0;424;1C7;3.2;42.5;28.0;14.5;5.5;77.1;-0.0039;-0.4939;
14.08;1;0;0;0;FFFFFFFA;0;0;0;0;0;424;1C7;3.2;42.5;27.5;14.5;5.5;77.1;-0.0039;-0.4939;
14.33;1;0;0;0;FFFFFFFA;0;0;0;0;0;425;1C7;3.2;42.5;28.0;14.5;5.5;77.1;-0.0039;-0.4939;
14.58;1;0;0;0;FFFFFFFA;0;0;0;0;0;41D;1C7;3.2;42.5;29.5;14.5;5.5;77.1;-0.0039;-0.4941;
14.83;1;0;0;0;FFFFFFFA;0;0;0;0;0;426;1C7;3.2;42.5;27.0;14.5;5.5;77.1;-0.0039;-0.4948;
15.08;1;0;0;0;FFFFFFFA;0;0;0;0;0;422;1C7;3.2;42.5;28.5;14.5;5.5;77.1;-0.0039;-0.4948;
15.33;1;0;0;0;FFFFFFFA;0;0;0;0;0;427;1C7;3.2;42.5;27.5;14.5;5.5;77.1;-0.0039;-0.4945;
15.59;1;0;0;0;FFFFFFFA;0;0;0;0;0;426;1C7;3.2;42.5;26.5;14.5;5.5;77.1;-0.0039;-0.4939;
15.84;1;0;0;0;FFFFFFFA;0;0;0;0;0;425;1C7;3.2;42.5;27.0;14.5;5.5;77.1;-0.0039;-0.4939;
