time(s);clutchPressed;brakePressed;steeringWheelButtons;gearAct;engineTemp;oilTemp;wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;airPressEngine;fuelLevel1;fuelLevel2;engineTorque;batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;accelLong;accelCross;
0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;188.0;0.0;0.0;0.0;0.0000;0.0172;0.0000;101.5500;
0.80;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.3;188.0;12.0;0.0;0.0;0.0000;0.0172;0.0000;101.5500;
1.05;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.3;188.0;12.0;0.0;0.0;0.0000;0.0172;0.0000;101.5500;
1.30;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.2;188.0;12.0;0.0;0.0;0.0000;0.0172;0.0000;101.5250;
1.55;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
1.80;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.6000;
2.05;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
2.30;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
2.55;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
2.80;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
3.05;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
3.30;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
3.55;0;0;0;0;3A;CF;0;0;0;0;0;0;0;3C6;3.2;22.3;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
