time(s);clutchPressed;brakePressed;steeringWheelButtons;engineTemp(C);wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;airPressIntake(hPa);fuelLevel1;fuelLevel2;engineTorque(Nm);batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;accelLong(m_sq(s));accelCross(m_sq(s));enginePow(kW);
12.56;1;0;0;4;0;0;0;0;0;3C5;147;3B0;3.2;33.1;19.5;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4250;1.9706;
12.81;1;0;0;4;0;0;0;0;0;3C2;147;3B0;3.2;33.1;20.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4750;2.0148;
13.06;1;0;0;4;0;0;0;0;0;3C6;147;3B0;3.2;33.1;19.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4500;1.9220;
13.31;1;0;0;4;0;0;0;0;0;3C7;147;3B0;3.2;33.1;18.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4500;1.8228;
13.56;1;0;0;4;0;0;0;0;0;3C6;147;3B0;3.2;33.1;17.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4250;1.7197;
13.81;1;0;0;4;0;0;0;0;0;3C3;147;3B0;3.2;33.1;19.5;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4250;1.9665;
14.06;1;0;0;4;0;0;0;0;0;3C4;147;3B0;3.2;33.1;18.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4750;1.8171;
14.31;1;0;0;4;0;0;0;0;0;3C6;147;3B0;3.2;33.1;18.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4000;1.8209;
14.56;1;0;0;4;0;0;0;0;0;3C3;147;3B0;3.2;33.1;17.5;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4500;1.7648;
14.81;1;0;0;4;0;0;0;0;0;3C1;147;3B0;3.2;33.1;19.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4500;1.9121;
15.06;1;0;0;4;0;0;0;0;0;3C2;147;3B0;3.2;33.1;19.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4750;1.9141;
15.31;1;0;0;4;0;0;0;0;0;3C6;147;3B0;3.2;33.1;18.0;14.6;5.5;76.5;0.0000;-0.4715;0.0000;0.4250;1.8209;
15.56;1;0;0;5;0;0;0;0;0;3C2;147;3B0;3.2;33.1;19.0;14.6;5.5;76.5;0.0000;-0.4710;0.0000;0.4500;1.9141;
15.81;1;0;0;5;0;0;0;0;0;3C5;147;3B0;3.2;33.1;17.5;14.6;5.5;76.5;0.0000;-0.4710;0.0000;0.4250;1.7685;
16.06;1;0;0;5;0;0;0;0;0;3C2;147;3B0;3.2;33.1;21.0;14.6;5.5;76.5;0.0196;-0.4710;0.0000;0.4250;2.1155;
16.31;1;0;0;5;0;0;0;0;0;3D6;147;3B0;3.2;33.1;19.5;14.6;5.5;76.5;0.0549;-0.4710;0.0000;0.4250;2.0053;
16.56;1;0;0;5;0;0;0;0;0;3E6;147;3B0;3.2;33.1;18.5;14.6;5.5;76.5;0.0667;-0.4710;0.0000;0.4250;1.9334;
16.81;1;0;0;5;0;0;0;0;0;3EA;147;3B0;3.2;33.1;18.5;14.6;5.5;76.5;0.0824;-0.4708;0.0000;0.4500;1.9412;
17.06;1;0;0;5;0;0;0;0;0;3F4;147;3B0;3.2;33.1;16.0;14.6;5.5;76.5;0.1020;-0.4708;0.0000;0.4500;1.6956;
17.31;1;0;0;5;0;0;0;0;0;414;147;3B0;3.2;33.1;23.5;14.6;5.5;76.5;0.1333;-0.4708;0.0000;0.4500;2.5692;
17.58;1;0;0;5;0;0;0;0;0;42D;147;3B0;3.2;33.1;23.5;14.6;5.5;76.5;0.1333;-0.4708;0.0000;0.4500;2.6307;
17.83;1;0;0;5;0;0;0;0;0;443;147;3B0;3.2;33.1;24.0;14.6;5.5;76.5;0.1373;-0.4708;0.0000;0.4500;2.7420;
18.08;1;0;0;5;0;0;0;0;0;446;147;3B0;3.2;33.1;25.0;14.6;5.5;76.5;0.1373;-0.4708;0.0000;0.4250;2.8641;
18.33;1;0;0;5;0;0;0;0;0;454;147;3B0;3.2;33.1;27.0;14.6;5.5;76.5;0.1569;-0.4708;0.0000;0.4500;3.1328;
18.58;1;0;0;5;0;0;0;0;0;487;147;3B0;3.2;33.1;34.5;14.5;5.5;76.5;0.1647;-0.4710;0.0000;0.4500;4.1873;
18.83;1;0;0;5;0;0;0;0;0;4B9;147;3B0;3.2;33.1;34.5;14.5;5.5;76.5;0.1686;-0.4710;0.0000;0.4750;4.3679;
19.08;1;0;0;5;0;0;0;0;0;4C8;147;3B0;3.2;33.1;34.5;14.5;5.5;76.5;0.1686;-0.4710;0.0000;0.4500;4.4221;
19.33;1;0;0;5;0;0;0;0;0;4AF;147;3B0;3.2;33.1;36.0;14.5;5.5;76.5;0.1765;-0.4718;0.0000;0.4250;4.5201;
19.58;1;0;0;5;0;0;0;0;0;461;147;3B0;3.2;33.1;64.0;14.5;5.5;76.5;0.1804;-0.4723;0.0000;0.4250;7.5130;
