time(s);clutchPressed;brakePressed;steeringWheelButtons;gearAct;engineTemp;oilTemp;wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;airPressEngine;fuelLevel1;fuelLevel2;engineTorque;batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;accelLong;accelCross;
0.55;0;0;0;0;0;0;0;0;0;0;0;610;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0000;0.0000;0.0000;0.0000;
0.80;1;0;0;0;1;207;0;0;0;0;0;1227;0;948;3.2;36.0;86.0;0.0;0.0;0.0;0.0000;-0.2049;0.0000;0.3250;
1.05;1;0;0;0;1;207;0;0;0;0;0;1249;0;948;3.2;36.0;38.5;0.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4000;
1.30;1;0;0;0;1;207;0;0;0;0;0;1199;0;948;3.2;36.0;44.5;0.0;0.0;0.0;0.0000;-0.2049;0.0000;0.3750;
1.55;1;0;0;0;1;207;0;0;0;0;0;1156;0;948;3.2;36.0;46.5;0.0;0.0;0.0;0.0000;-0.2049;0.0000;0.3500;
1.80;1;0;0;0;1;207;0;0;0;0;0;1135;0;948;3.2;36.0;45.5;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4250;
2.05;1;0;0;0;1;207;0;0;0;0;0;1094;0;948;3.2;36.0;44.5;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
2.30;1;0;0;0;1;207;0;0;0;0;0;1092;0;948;3.2;36.0;40.5;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
2.55;1;0;0;0;1;207;0;0;0;0;0;1055;0;948;3.2;36.0;42.0;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
2.80;1;0;0;0;1;207;0;0;0;0;0;1034;0;948;3.2;36.0;42.5;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4250;
3.05;1;0;0;0;1;207;0;0;0;0;0;1004;0;948;3.2;36.0;41.5;11.7;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
3.30;1;0;0;0;1;207;0;0;0;0;0;989;0;948;3.2;35.9;47.0;11.7;0.0;0.0;0.0000;-0.2049;0.0000;0.4000;
3.55;1;0;0;0;1;207;0;0;0;0;0;981;0;948;3.2;35.9;47.0;12.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4000;
3.80;1;0;0;0;1;207;0;0;0;0;0;995;0;948;3.2;35.9;47.0;12.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4500;
4.05;1;0;0;0;1;207;0;0;0;0;0;987;0;948;3.2;35.9;42.5;12.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4000;
4.30;1;0;0;0;1;207;0;0;0;0;0;1001;0;948;3.2;35.9;39.0;12.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4500;
4.55;1;0;0;0;1;207;0;0;0;0;0;998;354;948;3.2;35.9;36.0;14.4;0.0;0.0;0.0000;-0.2049;0.0000;0.4250;
4.80;1;0;0;0;1;207;0;0;0;0;0;1003;354;948;3.2;35.9;31.0;14.6;0.0;0.0;0.0000;-0.2049;0.0000;0.4250;
5.05;1;0;0;0;1;207;0;0;0;0;0;989;354;948;3.2;35.9;33.0;14.6;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
5.30;1;0;0;0;1;207;0;0;0;0;0;986;354;948;3.2;35.9;32.0;14.6;0.0;0.0;0.0000;-0.2049;0.0000;0.4500;
5.57;1;0;0;0;1;207;0;0;0;0;0;995;354;948;3.2;35.9;29.5;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
5.82;1;0;0;0;1;207;0;0;0;0;0;990;354;948;3.2;35.9;28.5;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
6.07;1;0;0;0;1;207;0;0;0;0;0;990;354;948;3.2;35.9;28.0;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4000;
6.32;1;0;0;0;1;207;0;0;0;0;0;988;354;948;3.2;35.9;28.0;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4750;
6.57;1;0;0;0;1;207;0;0;0;0;0;992;354;948;3.2;35.9;26.5;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
6.82;1;0;0;0;1;207;0;0;0;0;0;990;354;948;3.2;35.9;25.0;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
7.07;1;0;0;0;1;207;0;0;0;0;0;983;354;948;3.2;35.9;27.0;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
7.32;1;0;0;0;1;207;0;0;0;0;0;986;354;948;3.2;35.9;27.5;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
7.57;1;0;0;0;1;207;0;0;0;0;0;986;354;948;3.2;35.9;27.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4750;
7.82;1;0;0;0;1;207;0;0;0;0;0;989;354;948;3.2;35.9;25.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
8.07;1;0;0;0;1;207;0;0;0;0;0;988;354;948;3.2;35.9;25.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
8.32;1;0;0;0;1;207;0;0;0;0;0;988;354;948;3.2;35.9;25.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
